study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
chart,0,0,0,1.548148148148148,4.907775100087747,,,,,,,,,,,,0,0,0,6,,,,,0.05277519999071956,,0.02926159999333322,0.05277519999071956,0.05277519999071956,4.951869199983776,1.548148148148148,4.907775100087747,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
poster,1,1,0,1.762962962962963,1.0939577999524772,,,,,,,,,,,,0,1,1,14,,,,,4.972978099947795,,4.9589170999825,4.972978099947795,4.972978099947795,6.069095199927688,1.762962962962963,1.0939577999524772,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
cruise,2,2,0,2.351851851851852,3.6971485998947173,,,,,,,,,,,,0,2,2,11,,,,,6.0852337998803705,,6.071890899911523,6.0852337998803705,6.0852337998803705,9.785930699901655,2.351851851851852,3.6971485998947173,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
keys,3,3,0,1.9814814814814814,1.0783888001460582,,,,,,,,,,,,0,3,3,13,,,,,9.803363699931651,,9.79090219992213,9.803363699931651,9.803363699931651,10.886839099926874,1.9814814814814814,1.0783888001460582,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
board,4,4,0,2.2333333333333334,2.260257399873808,,,,,,,,,,,,0,4,4,4,,,,,10.90846599987708,,10.893551299814135,10.90846599987708,10.90846599987708,13.167710199952126,2.2333333333333334,2.260257399873808,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
pastry,5,5,0,1.5407407407407407,1.4830489999148995,,,,,,,,,,,,0,5,5,9,,,,,13.184268099954352,,13.170460199937224,13.184268099954352,13.184268099954352,14.668562699807808,1.5407407407407407,1.4830489999148995,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
book,6,6,0,1.0407407407407407,1.830036599887535,,,,,,,,,,,,0,6,6,0,,,,,14.684027399867773,,14.671525500016287,14.684027399867773,14.684027399867773,16.518870499916375,1.0407407407407407,1.830036599887535,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
laptop,7,7,0,1.4296296296296296,1.7979280999861658,,,,,,,,,,,,0,7,7,5,,,,,16.534314299933612,,16.52158429985866,16.534314299933612,16.534314299933612,18.33584069996141,1.4296296296296296,1.7979280999861658,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
mouse,8,8,0,1.6111111111111112,1.9987103000748903,,,,,,,,,,,,0,8,8,8,,,,,18.35053059994243,,18.33841979992576,18.35053059994243,18.35053059994243,20.355356799904257,1.6111111111111112,1.9987103000748903,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
phone,9,9,0,1.1,1.8432779000140727,,,,,,,,,,,,0,9,9,2,,,,,20.372707899892703,,20.359245999949053,20.372707899892703,20.372707899892703,22.219148899894208,1.1,1.8432779000140727,,,,,,,,,,,,,,,,,,,04,001,2025-10-15_13h24.08.663,Word_priming_exp,,2025.1.1,60.3431108715839,2025-10-15 13h24.17.169290 +0530,
