study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,Test_words,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
board,10,10,0,1.8,3.813688699854538,,,,,,,,,,,,0,10,10,4,,,,,40.19111689995043,,40.180720899952576,40.19111689995043,40.19111689995043,44.008080299943686,1.8,3.813688699854538,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
mouse,11,11,0,1.4407407407407407,3.315621000016108,,,,,,,,,,,,0,11,11,8,,,,,44.024171399883926,,44.010497899958864,44.024171399883926,44.024171399883926,47.34187959996052,1.4407407407407407,3.315621000016108,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
keys,12,12,0,1.8444444444444446,3.5631858999840915,,,,,,,,,,,,0,12,12,13,,,,,47.35730649996549,,47.34545759996399,47.35730649996549,47.35730649996549,50.926554299890995,1.8444444444444446,3.5631858999840915,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
pastry,13,13,0,1.8074074074074074,6.33143169991672,,,,,,,,,,,,0,13,13,9,,,,,50.940294899977744,,50.92903120000847,50.940294899977744,50.940294899977744,57.27481839992106,1.8074074074074074,6.33143169991672,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
cushion,14,14,0,1.1481481481481481,6.531578799942508,,,,,,,,,,,,0,14,14,1,,,,,57.291007899912074,,57.27760969987139,57.291007899912074,57.291007899912074,63.82648939988576,1.1481481481481481,6.531578799942508,,,,,,,,,,,,,,,,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,0,0,0,,,c_m_ra,camera,new,c,[],[],[],[],[],[],[],,,,,0,0,0,19,63.84793569985777,,,,,,,,63.83587109996006,63.84793569985777,63.84793569985777,63.84793569985777,0.009373900014907122,73.82724509993568,c,[],[],[],[],[],[],[],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,1,1,0,,,l_pt_p,laptop,old ,laptop,[np.float64(0.013888888888888888)],[np.float64(-0.28703703703703703)],[1],[0],[0],[3.8469414999708533],['text_3'],,,,,0,1,1,0,73.84289889992215,,,,,,,,73.83034599991515,73.84289889992215,73.84289889992215,73.84289889992215,0.0038401999045163393,77.67753189988434,laptop,[np.float64(0.013888888888888888)],[np.float64(-0.28703703703703703)],[1],[0],[0],[3.8469414999708533],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,2,2,0,,,k_y_,keys,old,keys,[np.float64(0.075)],[np.float64(-0.3212962962962963)],[1],[0],[0],[3.6971098000649363],['text_3'],,,,,0,2,2,8,77.69248289987445,,,,,,,,77.67970540001988,77.69248289987445,77.69248289987445,77.69248289987445,0.0020449000876396894,81.37707039993256,keys,[np.float64(0.075)],[np.float64(-0.3212962962962963)],[1],[0],[0],[3.6971098000649363],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,3,3,0,,,p_str_,pastry,old,pastry,[np.float64(0.06851851851851852)],[np.float64(-0.29907407407407405)],[1],[0],[0],[5.731628099922091],['text_3'],,,,,0,3,3,4,81.39076249999925,,,,,,,,81.37944839987904,81.39076249999925,81.39076249999925,81.39076249999925,0.0022992000449448824,87.1113267999608,pastry,[np.float64(0.06851851851851852)],[np.float64(-0.29907407407407405)],[1],[0],[0],[5.731628099922091],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,4,4,0,,,t_hi_t,tshirt,old,,[],[],[],[],[],[],[],,,,,0,4,4,2,87.1264661999885,,,,,,,,87.11364110000432,87.1264661999885,87.1264661999885,87.1264661999885,0.0022191000171005726,97.12599650002085,,[],[],[],[],[],[],[],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,5,5,0,,,_o_rd,board,old,board,[np.float64(0.017592592592592594)],[np.float64(-0.29259259259259257)],[1],[0],[0],[7.84797429991886],['text_3'],,,,,0,5,5,10,97.14233249984682,,,,,,,,97.12912359996699,97.14233249984682,97.14233249984682,97.14233249984682,0.017705600010231137,104.97738329996355,board,[np.float64(0.017592592592592594)],[np.float64(-0.29259259259259257)],[1],[0],[0],[7.84797429991886],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,6,6,0,,,_ha_t,chart,old,hat,[],[],[],[],[],[],[],,,,,0,6,6,1,104.99206309998408,,,,,,,,104.97952169994824,104.99206309998408,104.99206309998408,104.99206309998408,0.00202700006775558,114.97669639997184,hat,[],[],[],[],[],[],[],114.99183569988236,114.99183569988236,114.99183569988236,9.998739500064403,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,7,7,0,,,p_st_r,poster,old,poster,[np.float64(0.1398148148148148)],[np.float64(-0.29444444444444445)],[1],[0],[0],[6.982197400182486],['text_3'],,,,,0,7,7,9,114.99183569988236,,,,,,,,114.97925499989651,114.99183569988236,114.99183569988236,114.99183569988236,0.0017578001134097576,121.96176119986922,poster,[np.float64(0.1398148148148148)],[np.float64(-0.29444444444444445)],[1],[0],[0],[6.982197400182486],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,8,8,0,,,v_s_,vase,new,vase,[np.float64(0.11574074074074074)],[np.float64(-0.27685185185185185)],[1],[0],[0],[5.211356699932367],['text_3'],,,,,0,8,8,17,121.98027090006508,,,,,,,,121.96703940001316,121.98027090006508,121.98027090006508,121.98027090006508,0.005158800166100264,127.17872279998846,vase,[np.float64(0.11574074074074074)],[np.float64(-0.27685185185185185)],[1],[0],[0],[5.211356699932367],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,9,9,0,,,_o_se,mouse,old,loose,[np.float64(-0.01574074074074074)],[np.float64(-0.29444444444444445)],[1],[0],[0],[7.929584499914199],['text_3'],,,,,0,9,9,3,127.19345290004276,,,,,,,,127.18097730004229,127.19345290004276,127.19345290004276,127.19345290004276,0.002150600077584386,135.11090520001017,loose,[np.float64(-0.01574074074074074)],[np.float64(-0.29444444444444445)],[1],[0],[0],[7.929584499914199],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,10,10,0,,,ta_l_,table,new,,[],[],[],[],[],[],[],,,,,0,10,10,15,135.12677749991417,,,,,,,,135.11404899996705,135.12677749991417,135.12677749991417,135.12677749991417,0.0030361998360604048,145.1108682998456,,[],[],[],[],[],[],[],145.12554749986157,145.12554749986157,145.12554749986157,9.999436799902469,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,11,11,0,,,p_li_e,police,old,police,[np.float64(-0.03981481481481482)],[np.float64(-0.30648148148148147)],[1],[0],[0],[5.981282099848613],['text_3'],,,,,0,11,11,7,145.12554749986157,,,,,,,,145.11291929986328,145.12554749986157,145.12554749986157,145.12554749986157,0.001886199926957488,151.0945263998583,police,[np.float64(-0.03981481481481482)],[np.float64(-0.30648148148148147)],[1],[0],[0],[5.981282099848613],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,12,12,0,,,_oo_,book,old,book,[np.float64(-0.03981481481481482)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.680901899933815],['text_3'],,,,,0,12,12,13,151.11006779992022,,,,,,,,151.0972396999132,151.11006779992022,151.11006779992022,151.11006779992022,0.002581000095233321,155.7785334000364,book,[np.float64(-0.03981481481481482)],[np.float64(-0.3055555555555556)],[1],[0],[0],[4.680901899933815],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,13,13,0,,,_ho_e,phone,old,phone,[np.float64(-0.03796296296296296)],[np.float64(-0.31203703703703706)],[1],[0],[0],[9.148164600133896],['text_3'],,,,,0,13,13,12,155.7923777999822,,,,,,,,155.78074049996212,155.7923777999822,155.7923777999822,155.7923777999822,0.0020927998702973127,164.9293045999948,phone,[np.float64(-0.03796296296296296)],[np.float64(-0.31203703703703706)],[1],[0],[0],[9.148164600133896],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,14,14,0,,,c_s_,case,old,case,[np.float64(-0.041666666666666664)],[np.float64(-0.30925925925925923)],[1],[0],[0],[6.029065799899399],['text_3'],,,,,0,14,14,5,164.94497389998287,,,,,,,,164.9317204998806,164.94497389998287,164.94497389998287,164.94497389998287,0.002291899872943759,170.96110109984875,case,[np.float64(-0.041666666666666664)],[np.float64(-0.30925925925925923)],[1],[0],[0],[6.029065799899399],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,15,15,0,,,_ru_s_,cruise,old,cruise,[np.float64(-0.11203703703703703)],[np.float64(-0.31296296296296294)],[1],[0],[0],[6.798523500096053],['text_3'],,,,,0,15,15,6,170.9783838998992,,,,,,,,170.9634105998557,170.9783838998992,170.9783838998992,170.9783838998992,0.0022122999653220177,177.7622570998501,cruise,[np.float64(-0.11203703703703703)],[np.float64(-0.31296296296296294)],[1],[0],[0],[6.798523500096053],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,16,16,0,,,p_nc_l,pencil,new,penc,[],[],[],[],[],[],[],,,,,0,16,16,16,177.77706240001135,,,,,,,,177.76462340005673,177.77706240001135,177.77706240001135,177.77706240001135,0.0022734999656677246,187.76123159984127,penc,[],[],[],[],[],[],[],187.77710379986092,187.77710379986092,187.77710379986092,9.99845220008865,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,17,17,0,,,_a_bl_,marble,old,marble,[np.float64(-0.013888888888888888)],[np.float64(-0.30648148148148147)],[1],[0],[0],[9.315367499832064],['text_3'],,,,,0,17,17,11,187.77710379986092,,,,,,,,187.76357649988495,187.77710379986092,187.77710379986092,187.77710379986092,0.001225900137796998,197.07928529987112,marble,[np.float64(-0.013888888888888888)],[np.float64(-0.30648148148148147)],[1],[0],[0],[9.315367499832064],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,18,18,0,,,bo_t_e,bottle,new,bottle,[np.float64(-0.03981481481481482)],[np.float64(-0.3074074074074074)],[1],[0],[0],[7.512901100097224],['text_3'],,,,,0,18,18,18,197.0943423998542,,,,,,,,197.08143089991063,197.0943423998542,197.0943423998542,197.0943423998542,0.0020465999841690063,204.59464640007354,bottle,[np.float64(-0.03981481481481482)],[np.float64(-0.3074074074074074)],[1],[0],[0],[7.512901100097224],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
,19,19,0,,,c_s_io_,cushion,old,cusion,[np.float64(-0.016666666666666666)],[np.float64(-0.3055555555555556)],[1],[0],[0],[7.715609400067478],['text_3'],,,,,0,19,19,14,204.6104148000013,,,,,,,,204.5965803998988,204.6104148000013,204.6104148000013,204.6104148000013,0.0018492999952286482,212.31252190005034,cusion,[np.float64(-0.016666666666666666)],[np.float64(-0.3055555555555556)],[1],[0],[0],[7.715609400067478],['text_3'],,,,,02,001,2025-10-14_14h20.28.111,Word_priming_exp,,2025.1.1,60.75267705491886,2025-10-14 14h20.34.595350 +0530,
